50	23	37	55	77	102
55	28	43	63	86	112
60	33	49	70	95	121
65	38	55	77	103	130
70	43	61	84	110	139
75	47	67	91	118	147
80	52	72	97	125	155
85	57	78	103	132	163
90	61	83	109	139	171
95	65	88	115	145	178
100	70	93	121	152	185
105	74	98	126	158	192
110	78	102	131	164	199
115	82	107	137	170	205
120	86	112	142	176	211
125	90	116	147	181	217
130	94	120	152	187	223
135	98	125	156	192	229
140	101	129	161	197	235
